@relation 'MC2'

@attribute LOC_BLANK numeric
@attribute BRANCH_COUNT numeric
@attribute CALL_PAIRS numeric
@attribute LOC_CODE_AND_COMMENT numeric
@attribute LOC_COMMENTS numeric
@attribute CONDITION_COUNT numeric
@attribute CYCLOMATIC_COMPLEXITY numeric
@attribute CYCLOMATIC_DENSITY numeric
@attribute DECISION_COUNT numeric
@attribute DECISION_DENSITY numeric
@attribute DESIGN_COMPLEXITY numeric
@attribute DESIGN_DENSITY numeric
@attribute EDGE_COUNT numeric
@attribute ESSENTIAL_COMPLEXITY numeric
@attribute ESSENTIAL_DENSITY numeric
@attribute LOC_EXECUTABLE numeric
@attribute PARAMETER_COUNT numeric
@attribute GLOBAL_DATA_COMPLEXITY numeric
@attribute GLOBAL_DATA_DENSITY numeric
@attribute HALSTEAD_CONTENT numeric
@attribute HALSTEAD_DIFFICULTY numeric
@attribute HALSTEAD_EFFORT numeric
@attribute HALSTEAD_ERROR_EST numeric
@attribute HALSTEAD_LENGTH numeric
@attribute HALSTEAD_LEVEL numeric
@attribute HALSTEAD_PROG_TIME numeric
@attribute HALSTEAD_VOLUME numeric
@attribute MAINTENANCE_SEVERITY numeric
@attribute MODIFIED_CONDITION_COUNT numeric
@attribute MULTIPLE_CONDITION_COUNT numeric
@attribute NODE_COUNT numeric
@attribute NORMALIZED_CYLOMATIC_COMPLEXITY numeric
@attribute NUM_OPERANDS numeric
@attribute NUM_OPERATORS numeric
@attribute NUM_UNIQUE_OPERANDS numeric
@attribute NUM_UNIQUE_OPERATORS numeric
@attribute NUMBER_OF_LINES numeric
@attribute PATHOLOGICAL_COMPLEXITY numeric
@attribute PERCENT_COMMENTS numeric
@attribute LOC_TOTAL numeric
@attribute Defective {Y,N}

@data
5,3,0,0,3,4,2,0.29,2,2,1,0.5,6,1,0,7,0,2,1,25.78,4.5,522,0.04,29,0.22,29,116,0.5,1,2,6,0.12,15,14,10,6,17,1,30,7,N
5,3,0,0,3,4,2,0.29,2,2,1,0.5,6,1,0,7,0,2,1,26.67,4.5,540,0.04,30,0.22,30,120,0.5,1,2,6,0.12,15,15,10,6,17,1,30,7,N
5,3,0,0,3,4,2,0.29,2,2,1,0.5,6,1,0,7,0,2,1,26.67,4.2,470.4,0.04,28,0.24,26.13,112,0.5,1,2,6,0.12,14,14,10,6,17,1,30,7,N
30,69,17,4,52,118,35,0.27,54,2.19,18,0.51,152,17,0.47,125,0,25,0.71,84.68,27.62,64595.11,0.78,363,0.04,3588.62,2338.79,0.49,32,59,119,0.16,145,218,63,24,213,1,30.94,129,N
2,1,0,0,3,0,1,0.25,0,?,1,1,1,1,0,4,0,0,0,8.72,4,139.48,0.01,11,0.25,7.75,34.87,1,0,0,2,0.09,4,7,3,6,11,1,42.86,4,N
6,9,2,6,4,4,7,0.11,2,2,4,0.57,22,1,0,57,1,7,1,51.55,33,56139.09,0.57,288,0.03,3118.84,1701.18,0.14,1,2,17,0.09,132,156,40,20,75,1,14.93,63,N
10,1,1,0,1,0,1,0.05,0,?,1,1,19,1,0,20,0,1,1,64.31,7.2,3333.77,0.15,109,0.14,185.21,463.02,1,0,0,20,0.03,54,55,15,4,33,1,4.76,20,N
1,1,0,0,0,0,1,0.08,0,?,1,1,1,1,0,12,0,1,1,63.93,2.75,483.48,0.06,45,0.36,26.86,175.81,1,0,0,2,0.07,22,23,12,3,15,1,0,12,Y
8,11,2,0,6,20,6,0.32,10,2,2,0.33,31,1,0,19,1,6,1,34.67,15,7800,0.17,104,0.07,433.33,520,0.17,5,10,27,0.17,50,54,20,12,35,1,24,19,Y
16,13,3,11,18,24,7,0.11,12,2,2,0.29,35,1,0,53,0,5,0.71,104.87,24.88,64889.48,0.87,407,0.04,3604.97,2608.62,0.14,6,12,30,0.07,199,208,68,17,100,1,35.37,64,N
